"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11"
"10025","New York","NY","New York-Newark-Jersey City","New York County",1,,,,,,,,,,,,,2850,2972.5,3172.5,3000,2995,3000,3000,3000,3195,3200,3000,3150,3400,3500,3500,3500,3350,3300,3400,3200,3200,3200,3100,3200,3295,3225,3250,3295,3300,3300,3350,3350,3350,3295,3500,3400,3692.5,3750,3725,3600,3599,3500,3500,3450,3499,3500,3500,3400,3600,3700,3690,3500,3681,3795,3534,3600,3522.5,3500,3400,3500,3595,3500,3500,3500,3500,3500,3500,3500,3500,3450,3400,3400,3500,3500,3645,3622.5,3600,3581,3500,3500,3550,3500,3500,3500,3500,3500,3525,3500,3550,3500,3495,3500,3600,3450,3399.5,3450,3500,3849,3952.5
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,,,,,1597.5,1575,1600,1600,1600,1675,1675,1600,1695,1700,1700,1695,1675,1600,1600,1600,1625,1695,1700,1695,1800,1820,1820,1800,1795,1750,1650,1700,1700,1795,1795,1785,1800,1850,1900,1850,1800,1800,1795,1725,1750,1775,1795,1770,1750,1795,1775,1750,1795,1795,1740,1800,1795,1825,1820,1825,1809.5,1800,1800,1800,1875,1850,1895,1880,1850,1900,1900,1857.5,1890,1850,1800,1800,1900,1950,1975,1900,1935,1945,1925,1920,1895,1849.5,1850,1800,1850,1900,1950,1950,1945,1925,1950,1900,1850,1800,1800,1840,1895,1901,1950,1950,1950,1958.5,1990,1950,1950,1900,1895
"10023","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5120,5200,5100,5060,4975,5195,4925,5000,5372.5,5200,5000,4937.5,5000,5069.5,4900,4975,5000,5046.5,5000,4987.5,4912.5,4995,4900,4625,4962.5,4900,4800,4867.5,4800,4800,4900,4897.5,4900,4950,4900,4900,4800,5000,5075,5000,4950,5060,5200,4937.5,4800,4925,4950,4937.5,4995,5000,5000,4925,4800,4800,4860,4750,4840,4900,4900,4950,5200,5183.5,5400,5200
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1466,1466,1486.5,1482,1443.5,1430.5,1425,1439,1436,1675,1562.5,1450,1547.5,1528,1582,1557.5,1552.5,1520,1524,1437.5,1528,1489,1459.5,1526.5,1600,1604.5,1590,1627.5,1610,1639.5,1634.5,1650,1645,1656,1656,1630,1650,1619,1600,1620,1609,1699,1649.5,1672,1665,1659,1599,1605,1619,1619,1600,1590,1590,1578
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",5,,,,,,1700,1700,1650,1665,1740,1785,1800,1810,1900,1900,1950,1950,1875,1812.5,1865,1895,2000,2040,2275,2350,2400,2300,2355,2200,2100,1860,1975,2000,1995,1950,2035,2100,2100,2200,2230,2200,2100,2100,1995,1899,1995,2000,1995,2000,2000,2100,2095,2100,1995,1840,1995,1995,1995,1950,1995,1999,1999,2097,2029,2029,2202.5,2177.5,2065,2000,2055,1995,2000,1995,2055,1975,2000,2015,2060,2050,2067.5,2075,2050,2095,2010,2010,2000,2010,2070,2100,2089,2135,2150,2100,2100,2100,2095,2000,2100,2150,2200,2350,2350,2300,2200,2200,2155,2150,2245,2390,2300,2316
"10002","New York","NY","New York-Newark-Jersey City","New York County",6,,,,,,2595,2595,2600,2675,2750,2725,2850,2825,2995,3050,3300,3197.5,3000,3072.5,3000,3095,3100,3000,3045,3100,3195,3100,3095,3100,3100,3195,3200,3200,3250,3200,3100,3100,3099,3100,3100,3100,3100,3100,3150,3200,3240,3200,3250,3200,3195,3250,3275,3150,3225,3250,3300,3229,3325,3300,3295,3300,3295,3300,3197.5,3300,3397.5,3400,3300,3300,3472.5,3208,3300,3300,3200,3395,3199.5,3200,3300,3300,3300,3400,3400,3295,3295,3250,3200,3100,3097,3100,3099,3208,3300,3275,3250,3250,3392,3395,3425,3400,3362.5,3450,3349.5,3395,3392,3437.5,3483,3400,3483,3510,3572.5,3650
"77084","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186,1193,1186,1187,1169,1277,1143,1152,1152,1152,1115,1058,1160.5,1183,1116,1139,1166.5,1196,1228,1265,1186,1190.5,1240,1191,1145,1247,1321,1304,1316,1337,1317,1342,1325.5,1264,1234.5,1221,1253,1235.5,1280,1285,1329,1350.5,1446,1427,1495
"79936","El Paso","TX","El Paso","El Paso County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765,765,765,765,774,775,797.5,807,806,845,850,850,853,850,850,850,837.5,825,800.5,805,850,850,860,875,867.5,835,837.5,860,875
"60640","Chicago","IL","Chicago-Naperville-Elgin","Cook County",9,,,,,,1300,1295,1300,1305,1355,1305,1325,1350,1350,1310,1337.5,1395,1395,1350,1395,1395,1400,1450,1495,1495,1475,1450,1450,1450,1425,1400,1400,1450,1500,1500,1500,1505,1495,1475,1485,1495,1495,1495,1495,1500,1500,1525,1550,1550,1499,1500,1495,1495,1519,1475,1500,1550,1500,1550,1595,1600,1557.5,1505,1500,1525,1525,1595,1567.5,1595,1595,1525,1550,1597.5,1550,1500,1532.5,1600,1600,1695,1650,1650,1600,1600,1625,1600,1585,1550,1550,1600,1650,1650,1650,1650,1650,1650,1650,1625,1630,1645,1622,1616,1695,1748,1700,1695,1650,1650,1707,1700,1695,1700
"11226","New York","NY","New York-Newark-Jersey City","Kings County",10,,,,,,,,,,1575,1550,1550,1550,1500,1500,1562.5,1625,1500,1499,1500,1500,1600,1550,1600,1600,1600,1550,1550,1576,1500,1650,1650,1700,1708,1700,1750,1800,1800,1700,1750,1800,1800,1799,1800,1800,1850,1900,1900,1900,1900,1875,1850,1899,1875,1899.5,1900,1950,1950,1990,2000,2000,2100,2000,1999,1999,1975,1995,2000,2000,2100,2100,2000,2100,2250,2150,1975,1995,1975,1995,1995,1999,2000,2000,2150,2100,2050,2000,1995,2085,2100,2100,2100,2100,2195,2215,2307,2299.5,2200,2125,2195,2219,2200,2175,2200,2200,2290,2250,2200,2250,2350,2300
